Countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,75534.51206,63654.65945,49876.93544,65344.02875,67411.89861,69718.11956,64558.90318,68679.38959,73930.25845,77895.23863,82434.75708,71091.87375,88136.17466,89028.46798,93098.32599,95094.47877,100185.7267,102472.6868,108704.4749,113415.2066,110899.1703,110753.7975,114220.2789,116685.7256,119473.7361,120205.1491,117181.2836,113072.49,108877.1559,110667.2886,108726.1037,104810.7312,104218.8308,99788.49467,96863.58084,98642.39367,100902.1406,100377.5171,103925.2112,105742.5686,108300.3962,110106.788,114809.7613,121517.8165,125085.7093,130646.971,130907.6561,133239.8311,134171.1149,134032.9532,136419.1567,137745.4543,139642.2822,140661.6087,143052.5602,145431.0384,147179.9011,146507.9187,146611.8004
Argentina,8931.451188,9264.486097,9039.738185,8426.10465,9137.034795,9949.935748,9737.358488,9900.796754,10226.22887,11049.46932,11212.94605,11662.30095,11662.9787,11797.91014,12252.33998,12057.79184,11634.99896,12256.65534,11531.50028,12520.64398,12516.93386,11682.24031,11412.64272,11718.72771,11712.65272,10928.77316,11418.85318,11545.15158,11244.60191,10284.22018,9885.798881,10638.5375,11328.72393,12099.40805,12644.54353,12134.69582,12653.40533,13522.03051,13884.54994,13265.97141,13017.24606,12308.18475,10849.07692,11681.91125,12603.02266,13577.17017,14521.53667,15672.25782,16147.04531,15040.29012,16439.0564,17226.27072,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16468.02046,15891.66577
Australia,24717.80942,24833.25384,24548.50121,25578.90411,26832.18411,27885.75694,27905.67333,29292.39766,30246.73162,31706.84172,33317.90197,33500.11595,34176.82325,34537.96712,35056.5474,35095.01188,35643.98204,36512.54228,36414.12453,37479.2614,38148.58426,38801.29966,39429.83265,38075.08621,39371.13999,40875.11105,41833.8286,42255.30162,43954.76706,44889.44,45808.52149,45049.23629,44689.85424,46037.98042,47366.61999,48592.24214,49818.1421,51217.96187,53006.68056,55063.352,56550.77534,56870.65369,58428.76335,59435.44739,61132.9829,62264.59686,63067.31601,65083.97511,66126.16004,66031.89238,66356.87133,67052.83754,68462.77063,69054.74282,69779.94168,70389.66879,71271.5319,71722.70714,72603.56151
Austria,9839.014621,10327.10031,10535.85951,10901.60831,11492.40309,11815.34109,12394.82201,12672.59118,13170.78139,13949.10818,14779.14938,15465.928,16330.84169,17034.8489,17676.27452,17658.76964,18499.92215,19432.25307,19407.02413,20481.4839,20836.09573,20753.03881,21155.25785,21819.45426,21832.01651,22367.0244,22867.24097,23162.92473,23892.49822,24709.64597,25587.71505,26205.39893,26461.18782,26382.13394,26912.08813,27587.8272,28197.91439,28755.66152,29752.86046,30751.08191,31712.80247,31991.95801,32360.72031,32506.65062,33189.19584,33703.58815,34695.62531,35872.40749,36282.53982,34825.30881,35379.92903,36291.47474,36372.20491,36167.68416,36123.42617,36129.02752,36469.38741,37140.79212,37941.04286
Bangladesh,19592.40505,20211.33869,20730.02407,20062.3896,21622.03433,21317.46223,21186.58707,20128.30482,21356.72523,21010.00655,21654.31247,20061.99885,16975.18333,17277.33779,18630.28968,17530.97339,18113.43412,18139.10268,18910.88492,19287.45395,18930.14138,19771.23563,19672.43492,19911.55674,20331.25741,20467.27771,20766.97358,20990.9535,20947.44232,21004.85575,21653.27229,21892.89699,22574.69023,23131.2874,23522.30229,24204.74216,24766.20216,25337.48094,26101.32479,26773.22745,27645.36524,28506.18803,29065.01835,29920.06854,30983.23635,32521.8152,34227.432,36196.68015,37936.35426,39407.71629,41138.10138,43299.12518,45593.2189,47779.14093,50099.34777,52789.07325,55930.50591,59365.81572,63365.30113
Belgium,9961.545846,10422.79103,10922.46323,11312.87068,11985.88913,12300.45215,12603.22317,13018.0678,13510.80744,14365.80966,15154.16864,15729.49496,16497.73732,17495.43614,18236.67886,17826.56702,18800.63559,18895.01077,19413.86586,19850.50847,20709.83866,20652.54411,20781.07092,20847.53134,21362.03204,21708.42142,22096.23585,22586.65694,23578.39075,24307.90592,24995.88483,25359.66787,25643.58601,25297.91061,26033.90746,26598.98649,26970.06477,27903.16219,28393.63297,29338.07687,30330.46963,30471.6297,30875.45995,30984.57535,31972.1476,32462.67451,33057.48072,33947.42151,33944.07126,32913.36408,33509.02833,33670.70447,33541.10009,33450.36711,33720.0353,34108.40883,34429.09475,34891.55812,35247.88234
Belize,1879.829249,1916.849519,1955.281155,1995.235813,2035.947763,2074.930031,2109.746038,2147.700813,2238.990703,2290.177845,2342.899118,2384.70427,2579.657884,2672.65225,2988.534503,3050.535044,3006.918393,3159.206944,3360.961393,3553.764552,3951.57277,3903.998029,3798.527104,3614.016965,3581.288734,3517.218878,3576.116817,3852.072747,4117.887425,4540.94893,4950.418571,5414.695911,5967.884564,6236.565767,6120.757636,6002.943038,5897.722592,5888.611337,5879.008356,6161.144074,6728.847421,6851.685662,7001.681543,7454.578454,7601.352241,7596.860465,7739.592694,7623.764568,7669.908384,7529.167819,7595.414682,7577.029224,7620.490533,7513.903938,7622.648755,7718.960029,7518.037188,7476.541971,7557.687739
Benin,234106.5928,238107.2276,226546.7308,233533.6912,244913.7295,253334.4255,257521.132,255240.548,259703.9524,261640.5253,261471.7147,252000.0071,262290.9571,265887.2307,268409.6486,249191.3522,245235.7421,250988.7846,247612.2949,256900.0115,267042.9226,285710.988,284095.8465,264194.4673,277127.7515,289521.2549,287344.6598,274874.2623,275865.3134,259809.3933,274117.3751,276213.5526,274659.5758,280688.8758,276715.2094,283935.7374,287042.0367,294449.5708,297188.7263,303957.1147,312309.2489,319158.5722,323971.536,325095.6878,329444.9913,325335.3545,328518.1742,338387.9416,345053.1516,343309.1388,340853.5405,341249.1293,347817.2208,362563.6558,375013.0507,372406.191,376626.4492,387800.5097,403216.292
Bolivia,1667.304485,1669.269863,1728.091629,1809.307037,1843.556596,1895.294254,1989.985449,2072.385155,2202.652251,2253.109226,2320.865619,2386.364249,2521.114539,2608.136493,2626.430447,2756.953477,2820.982017,2896.200042,2891.124479,2832.717424,2735.018956,2686.156421,2528.321591,2377.679548,2325.359594,2240.003334,2137.495186,2144.702073,2160.989783,2195.906929,2249.59817,2318.556938,2307.540791,2356.068838,2415.190698,2476.588679,2532.462763,2604.954634,2682.137092,2641.292803,2655.685899,2649.426269,2664.786875,2686.940556,2748.699394,2819.473271,2903.418635,2984.172102,3114.536776,3165.902512,3242.811081,3356.665368,3472.594442,3650.654274,3790.976561,3915.423658,4022.394596,4130.840981,4244.528167
Botswana,2174.030174,2267.110994,2367.036034,2451.460467,2560.690342,2650.919474,2760.096614,2862.914575,3097.273962,3481.966792,3971.445162,4852.872064,5941.486781,6968.821966,7318.837238,7651.762516,8151.732969,8782.46572,9656.0021,10420.88085,11243.79519,11834.14319,12826.2519,14027.99685,14705.48961,15191.50799,15821.28543,17027.34153,19573.74988,21340.12257,22036.91244,22974.15748,22998.71864,22843.7263,23095.56301,24128.45585,24931.71532,26381.68012,25903.46384,27800.03776,27782.05769,27330.38829,28479.64558,29285.87377,29547.96993,30318.21728,32194.9126,34124.46548,35495.23454,32143.768,34306.25432,35870.39935,37025.20006,40765.7108,41927.08658,40591.29087,41569.31846,41901.4225,42816.15136
